"Year","Carrier Name","On Time"
"2010","Mesa Airlines Inc.",83.3248471048612
"2011","Mesa Airlines Inc.",83.7301257237915
"2012","Mesa Airlines Inc.",85.0002985609363
"2013","Mesa Airlines Inc.",77.3860717276224
"2003","Northwest Airlines Inc.",82.5491003982969
"2004","Northwest Airlines Inc.",79.0895076938847
"2005","Northwest Airlines Inc.",75.0305720085186
"2006","Northwest Airlines Inc.",75.8196266863796
"2007","Northwest Airlines Inc.",69.6173460772062
"2008","Northwest Airlines Inc.",76.7698733215975
"2009","Northwest Airlines Inc.",79.1541012240219
"2007","Pinnacle Airlines Inc.",76.2967884999478
"2008","Pinnacle Airlines Inc.",79.5508111942518
"2009","Pinnacle Airlines Inc.",82.5411070380116
"2010","Pinnacle Airlines Inc.",78.4901516658759
"2013","Pinnacle Airlines Inc.",77.6533088921703
"2003","SkyWest Airlines Inc.",87.3582056647019
"2004","SkyWest Airlines Inc.",82.6994614282509
"2005","SkyWest Airlines Inc.",82.4585373772355
"2006","SkyWest Airlines Inc.",76.7849095709065
"2007","SkyWest Airlines Inc.",75.678397002743
"2008","SkyWest Airlines Inc.",79.0221479314668
"2009","SkyWest Airlines Inc.",82.1117261505814
"2010","SkyWest Airlines Inc.",79.0515659917948
"2011","SkyWest Airlines Inc.",79.3413713966617
"2012","SkyWest Airlines Inc.",81.6055206262667
"2013","SkyWest Airlines Inc.",79.6600671499891
"2014","SkyWest Airlines Inc.",76.3503847289443
"2015","SkyWest Airlines Inc.",79.7174140650495
"2016","SkyWest Airlines Inc.",82.2782094360423
"2017","SkyWest Airlines Inc.",75.274719616062
"2003","Southwest Airlines Co.",85.7914426622828
"2004","Southwest Airlines Co.",80.06076308254
"2005","Southwest Airlines Co.",80.7442612887222
"2006","Southwest Airlines Co.",80.2331621064275
"2007","Southwest Airlines Co.",80.1215018594866
"2008","Southwest Airlines Co.",80.4785338763174
"2009","Southwest Airlines Co.",82.9972851190255
"2010","Southwest Airlines Co.",79.4594335016768
"2011","Southwest Airlines Co.",81.326483905662
"2012","Southwest Airlines Co.",83.1281810729175
"2013","Southwest Airlines Co.",76.6972611753386
"2014","Southwest Airlines Co.",73.010378560793
"2015","Southwest Airlines Co.",79.7062261511822
"2016","Southwest Airlines Co.",80.796325197546
"2017","Southwest Airlines Co.",78.2509359983491
"2015","Spirit Air Lines",68.9833786282044
"2016","Spirit Air Lines",74.3218113010948
"2017","Spirit Air Lines",76.9916295340024
"2003","United Air Lines Inc.",81.532799510124
"2004","United Air Lines Inc.",79.7449497312041
"2005","United Air Lines Inc.",77.649932704695
"2006","United Air Lines Inc.",73.8570182877074
"2007","United Air Lines Inc.",70.3321619095432
"2008","United Air Lines Inc.",71.6120707874042
"2009","United Air Lines Inc.",80.9790795866839
"2010","United Air Lines Inc.",85.1603557177459
"2011","United Air Lines Inc.",80.1649679318278
"2012","United Air Lines Inc.",77.3535750924715
