"","year","carrier_name","Category","Value"
"152","2003","Pinnacle Airlines Inc.","National Avaiation System Delay",0
"153","2003","Pinnacle Airlines Inc.","Security Delay",0
"154","2003","Pinnacle Airlines Inc.","Weather Delay",0
"155","2003","SkyWest Airlines Inc.","Weather Delay",1.18177545018532
"156","2003","SkyWest Airlines Inc.","Cancelled / Diverted",1.61979359486857
"157","2003","SkyWest Airlines Inc.","National Avaiation System Delay",2.04200481695168
"158","2003","SkyWest Airlines Inc.","Late Arrival",1.8040690346546
"159","2003","SkyWest Airlines Inc.","Security Delay",0.134358842101322
"160","2003","SkyWest Airlines Inc.","On Time",87.3582056647019
"161","2003","SkyWest Airlines Inc.","Carrier Delay",5.85979259653662
"162","2003","Southwest Airlines Co.","On Time",85.7914426622828
"163","2003","Southwest Airlines Co.","Carrier Delay",2.95478206780113
"164","2003","Southwest Airlines Co.","Late Arrival",7.14117563424712
"165","2003","Southwest Airlines Co.","Weather Delay",0.382195761318701
"166","2003","Southwest Airlines Co.","Security Delay",0.0615986137646066
"167","2003","Southwest Airlines Co.","Cancelled / Diverted",1.11876305149509
"168","2003","Southwest Airlines Co.","National Avaiation System Delay",2.55007242191318
"169","2003","Spirit Air Lines","Late Arrival",0
"170","2003","Spirit Air Lines","On Time",0
"171","2003","Spirit Air Lines","Cancelled / Diverted",0
"172","2003","Spirit Air Lines","Security Delay",0
"173","2003","Spirit Air Lines","Carrier Delay",0
"174","2003","Spirit Air Lines","Weather Delay",0
"175","2003","Spirit Air Lines","National Avaiation System Delay",0
"176","2003","United Air Lines Inc.","Weather Delay",0.404919379781993
"177","2003","United Air Lines Inc.","National Avaiation System Delay",8.80984188377317
"178","2003","United Air Lines Inc.","Late Arrival",4.57794433284075
"179","2003","United Air Lines Inc.","On Time",81.532799510124
"180","2003","United Air Lines Inc.","Carrier Delay",3.56136727890753
"181","2003","United Air Lines Inc.","Cancelled / Diverted",1.10534520949385
"182","2003","United Air Lines Inc.","Security Delay",0.00777615666034535
"183","2003","US Airways Inc.","Weather Delay",0.455347589112553
"184","2003","US Airways Inc.","National Avaiation System Delay",8.77623637397178
"185","2003","US Airways Inc.","Late Arrival",6.10566441516753
"186","2003","US Airways Inc.","On Time",79.3072460375844
"187","2003","US Airways Inc.","Security Delay",0
"188","2003","US Airways Inc.","Carrier Delay",3.78686969170066
"189","2003","US Airways Inc.","Cancelled / Diverted",1.56866515080586
"190","2003","Virgin America","On Time",0
"191","2003","Virgin America","Cancelled / Diverted",0
"192","2003","Virgin America","Late Arrival",0
"193","2003","Virgin America","National Avaiation System Delay",0
"194","2003","Virgin America","Carrier Delay",0
"195","2003","Virgin America","Weather Delay",0
"196","2003","Virgin America","Security Delay",0
"197","2004","AirTran Airways Corporation","Late Arrival",8.12454631577652
"198","2004","AirTran Airways Corporation","Security Delay",0
"199","2004","AirTran Airways Corporation","Carrier Delay",3.22999790843883
"200","2004","AirTran Airways Corporation","Cancelled / Diverted",1.42718291317561
"201","2004","AirTran Airways Corporation","On Time",77.7414830398996
"202","2004","AirTran Airways Corporation","National Avaiation System Delay",9.32713862129209
"203","2004","AirTran Airways Corporation","Weather Delay",0.149589684912462
"204","2004","Alaska Airlines Inc.","Carrier Delay",7.05036768228418
"205","2004","Alaska Airlines Inc.","On Time",76.4749209542972
"206","2004","Alaska Airlines Inc.","Security Delay",0.236202931876976
"207","2004","Alaska Airlines Inc.","Weather Delay",0.265030660151384
"208","2004","Alaska Airlines Inc.","Cancelled / Diverted",2.49532911756252
"209","2004","Alaska Airlines Inc.","National Avaiation System Delay",4.67239149180799
"210","2004","Alaska Airlines Inc.","Late Arrival",8.80581704512791
"211","2004","Aloha Airlines Inc.","On Time",0
"212","2004","Aloha Airlines Inc.","Late Arrival",0
"213","2004","Aloha Airlines Inc.","Cancelled / Diverted",0
"214","2004","Aloha Airlines Inc.","Weather Delay",0
"215","2004","Aloha Airlines Inc.","Security Delay",0
"216","2004","Aloha Airlines Inc.","Carrier Delay",0
"217","2004","Aloha Airlines Inc.","National Avaiation System Delay",0
"218","2004","American Airlines Inc.","Late Arrival",5.64695625783769
"219","2004","American Airlines Inc.","Weather Delay",1.55457749503255
"220","2004","American Airlines Inc.","Security Delay",0.0647714974489942
"221","2004","American Airlines Inc.","Carrier Delay",4.65959246894988
"222","2004","American Airlines Inc.","National Avaiation System Delay",9.282410084919
"223","2004","American Airlines Inc.","Cancelled / Diverted",2.01074228256326
"224","2004","American Airlines Inc.","On Time",76.7809799756065
"225","2004","American Eagle Airlines Inc.","Carrier Delay",5.52282813897261
"226","2004","American Eagle Airlines Inc.","On Time",73.160997582221
"227","2004","American Eagle Airlines Inc.","Cancelled / Diverted",3.85664723611433
"228","2004","American Eagle Airlines Inc.","National Avaiation System Delay",8.18439083562415
"229","2004","American Eagle Airlines Inc.","Security Delay",0.0163531282085252
"230","2004","American Eagle Airlines Inc.","Late Arrival",8.42049274666313
"231","2004","American Eagle Airlines Inc.","Weather Delay",0.838319312423409
"232","2004","America West Airlines Inc.","On Time",75.7266292060284
"233","2004","America West Airlines Inc.","Weather Delay",0.19069710471116
"234","2004","America West Airlines Inc.","Security Delay",0.182194458479425
"235","2004","America West Airlines Inc.","National Avaiation System Delay",9.61955506560715
"236","2004","America West Airlines Inc.","Carrier Delay",7.36000489948402
"237","2004","America West Airlines Inc.","Late Arrival",5.18669585942564
"238","2004","America West Airlines Inc.","Cancelled / Diverted",1.73421319900581
"239","2004","ATA Airlines","Security Delay",0.180000794354785
"240","2004","ATA Airlines","Late Arrival",5.52678961513511
"241","2004","ATA Airlines","Carrier Delay",3.73174638899554
"242","2004","ATA Airlines","On Time",79.8061774323806
"243","2004","ATA Airlines","Cancelled / Diverted",0.982352084519349
"244","2004","ATA Airlines","National Avaiation System Delay",9.62910251148505
