"Carrier Name","Year","Category","Value"
"Alaska Airlines Inc.","2016","Security Delay",0.0870148916967509
"Alaska Airlines Inc.","2017","Late Arrival",5.64066008482732
"Alaska Airlines Inc.","2017","National Avaiation System Delay",9.31824500124746
"Alaska Airlines Inc.","2017","Weather Delay",0.794133371351178
"Alaska Airlines Inc.","2017","Carrier Delay",4.14695085005525
"Alaska Airlines Inc.","2017","Cancelled / Diverted",2.41294507609509
"Alaska Airlines Inc.","2017","Security Delay",0.0877499376269737
"Aloha Airlines Inc.","2006","Carrier Delay",3.75864017859666
"Aloha Airlines Inc.","2006","Late Arrival",3.12552632322604
"Aloha Airlines Inc.","2006","Weather Delay",0.0339107581880351
"Aloha Airlines Inc.","2006","Cancelled / Diverted",2.14768135190889
"Aloha Airlines Inc.","2006","National Avaiation System Delay",0.89710910786447
"Aloha Airlines Inc.","2006","Security Delay",0.0634696357419391
"Aloha Airlines Inc.","2007","Carrier Delay",3.68468507333909
"Aloha Airlines Inc.","2007","Late Arrival",2.61676013805004
"Aloha Airlines Inc.","2007","Weather Delay",0.0400345125107852
"Aloha Airlines Inc.","2007","Cancelled / Diverted",0.869283865401208
"Aloha Airlines Inc.","2007","National Avaiation System Delay",0.485547886108714
"Aloha Airlines Inc.","2007","Security Delay",0.0582398619499569
"Aloha Airlines Inc.","2008","Carrier Delay",2.81653846153846
"Aloha Airlines Inc.","2008","Late Arrival",1.56269230769231
"Aloha Airlines Inc.","2008","Weather Delay",0.128205128205128
"Aloha Airlines Inc.","2008","Cancelled / Diverted",0.615384615384615
"Aloha Airlines Inc.","2008","National Avaiation System Delay",0.492564102564103
"Aloha Airlines Inc.","2008","Security Delay",0.0512820512820513
"American Airlines Inc.","2003","Weather Delay",1.20763180717127
"American Airlines Inc.","2003","Cancelled / Diverted",1.71885890956437
"American Airlines Inc.","2003","Carrier Delay",4.60224473035861
"American Airlines Inc.","2003","Late Arrival",4.0342966641899
"American Airlines Inc.","2003","Security Delay",0.055789301759576
"American Airlines Inc.","2003","National Avaiation System Delay",8.90714665280292
"American Airlines Inc.","2004","Weather Delay",1.55457749503255
"American Airlines Inc.","2004","Cancelled / Diverted",2.01074228256326
"American Airlines Inc.","2004","Carrier Delay",4.65959246894988
"American Airlines Inc.","2004","Late Arrival",5.64695625783769
"American Airlines Inc.","2004","Security Delay",0.0647714974489942
"American Airlines Inc.","2004","National Avaiation System Delay",9.282410084919
"American Airlines Inc.","2005","Weather Delay",1.39724363799403
"American Airlines Inc.","2005","Cancelled / Diverted",1.70272087937539
"American Airlines Inc.","2005","Carrier Delay",5.13410801269061
"American Airlines Inc.","2005","Late Arrival",6.09691954350631
"American Airlines Inc.","2005","Security Delay",0.0337663995819285
"American Airlines Inc.","2005","National Avaiation System Delay",8.77436313131988
"American Airlines Inc.","2006","Weather Delay",1.15776176706852
"American Airlines Inc.","2006","Cancelled / Diverted",1.83779601210074
"American Airlines Inc.","2006","Carrier Delay",5.42351813324176
"American Airlines Inc.","2006","Late Arrival",6.98417643338922
"American Airlines Inc.","2006","Security Delay",0.0706513548074338
"American Airlines Inc.","2006","National Avaiation System Delay",8.98104248466043
"American Airlines Inc.","2007","Weather Delay",1.74860733572399
"American Airlines Inc.","2007","Cancelled / Diverted",3.15859886378158
"American Airlines Inc.","2007","Carrier Delay",6.66281669209301
"American Airlines Inc.","2007","Late Arrival",9.14312534215131
"American Airlines Inc.","2007","Security Delay",0.0303854023857116
"American Airlines Inc.","2007","National Avaiation System Delay",10.5174463640853
"American Airlines Inc.","2008","Weather Delay",0.933876468672454
"American Airlines Inc.","2008","Cancelled / Diverted",3.20690116931704
"American Airlines Inc.","2008","Carrier Delay",7.36537644470088
"American Airlines Inc.","2008","Late Arrival",8.1455405425512
"American Airlines Inc.","2008","Security Delay",0.0214901063511456
"American Airlines Inc.","2008","National Avaiation System Delay",10.4850276830395
"American Airlines Inc.","2009","Weather Delay",1.07445653257723
"American Airlines Inc.","2009","Cancelled / Diverted",2.01397034429121
"American Airlines Inc.","2009","Carrier Delay",6.60782600340466
"American Airlines Inc.","2009","Late Arrival",5.83499547677018
"American Airlines Inc.","2009","Security Delay",0.0140047897287331
"American Airlines Inc.","2009","National Avaiation System Delay",7.24308145258223
"American Airlines Inc.","2010","Weather Delay",0.984496167020665
"American Airlines Inc.","2010","Cancelled / Diverted",2.05245090699364
"American Airlines Inc.","2010","Carrier Delay",5.98382514146069
"American Airlines Inc.","2010","Late Arrival",4.98495091161503
"American Airlines Inc.","2010","Security Delay",0.0226891672813113
"American Airlines Inc.","2010","National Avaiation System Delay",6.34473891929762
"American Airlines Inc.","2011","Weather Delay",0.996350656565938
"American Airlines Inc.","2011","Cancelled / Diverted",2.88955905005584
"American Airlines Inc.","2011","Carrier Delay",6.56580059794232
"American Airlines Inc.","2011","Late Arrival",5.3301485193588
"American Airlines Inc.","2011","Security Delay",0.00971238193983786
"American Airlines Inc.","2011","National Avaiation System Delay",6.41831435265962
"American Airlines Inc.","2012","Weather Delay",0.839351129050684
"American Airlines Inc.","2012","Cancelled / Diverted",2.16023761471383
"American Airlines Inc.","2012","Carrier Delay",6.77599672518183
"American Airlines Inc.","2012","Late Arrival",6.44164159780663
"American Airlines Inc.","2012","Security Delay",0.0218879707551121
"American Airlines Inc.","2012","National Avaiation System Delay",6.81750885343285
"American Airlines Inc.","2013","Weather Delay",0.863290146144851
"American Airlines Inc.","2013","Cancelled / Diverted",2.14448652236234
"American Airlines Inc.","2013","Carrier Delay",5.82001186113915
"American Airlines Inc.","2013","Late Arrival",7.50996949196027
"American Airlines Inc.","2013","Security Delay",0.0162337722698465
"American Airlines Inc.","2013","National Avaiation System Delay",6.02977369020861
"American Airlines Inc.","2014","Weather Delay",0.891537427212724
"American Airlines Inc.","2014","Cancelled / Diverted",1.93677852024467
